カード名,型番,画像ファイル名,フレーバー
ヨビニオン・クロウラー,DM24RP3 17/76,060_042_01_ヨビニオン・クロウラー.jpg,夜の四天王が暗黒剣に切られてパワーアップしたことで生み出したデモンズ・レガシーは、月の軍勢にエネルギーを与えた。
響乱の不死帝 ブルース,DM24RP3 18/76,060_043_01_響乱の不死帝 ブルース.jpg,お前のすべては俺のものさ。 — 響乱の不死帝 ブルース
逆転の影ガレック,DM24RP3 19/76,060_044_01_逆転の影ガレック.jpg,選択こそ逆転の本質。
ティンパニ＝シンバリー,DM24RP3 20/76,060_045_01_ティンパニ＝シンバリー.jpg,伝説の邪神と夜の四天王の特攻隊長の闘い……これがジャシンと月の悪魔たちの壮大なる闘いの意外な結末につながることはまだだれも知らなかった。
逆転兵ウインドアックス,DM24RP3 22/76,060_047_01_逆転兵ウインドアックス.jpg,殲滅こそ逆転の本質。
ロック・ポロン,DM24RP3 24/76,060_049_01_ロック・ポロン.jpg,暴竜爵とゴルギーニ家の意志の両方を継いだ天使と、夜の四天王の筆頭格……最終決戦の火蓋が、いま切られようとしていた……！
逆転の剣スカイソード,DM24RP3 25/76,060_050_01_逆転の剣スカイソード.jpg,運命こそ逆転の本質。
ヨビニオン・トライブ,DM24RP3 27/76,061_002_01_ヨビニオン・トライブ.jpg,森翠月の軍勢までもゴルファンタジスタに心酔し、エナジーを送った。
寒さ知らずのムサムー,DM24RP3 ㊙21/㊙24,061_003_01_寒さ知らずのムサムー.jpg,知っているのは、仲間のあたたかさ。
ツイン・シックス,DM24RP3 ㊙22/㊙24,061_004_01_ツイン・シックス.jpg,甘酸っぱい歌声で油断を誘う。
シャダンＱ,DM24RP3 T4/T12,061_005_01_シャダンＱ.jpg,ジョー車したのは、自由行きの列車。
ビックラボックス,DM24RP3 T5/T12,061_006_01_ビックラボックス.jpg,箱の中から、ビックリ登ジョー！
夢のジョー星,DM24RP3 T6/T12,061_007_01_夢のジョー星.jpg,ここからすべてが誕ジョーしたのだ！
SMAPON,DM24RP3 T7/T12,061_008_01_SMAPON.jpg,目指すは、絶望的なジョー況からの大逆転！
天体かんそ君,DM24RP3 T8/T12,061_009_01_天体かんそ君.jpg,天ジョーの星々には、夢と希望が詰まっている。
タイク・タイソンズ,DM24RP3 T9/T12,061_010_01_タイク・タイソンズ.jpg,ジョー熱が、切り札とともに駆けた日々があった。
ドリーム・ザ・シルバー,DM24RP3 28/76,061_011_01_ドリーム・ザ・シルバー.jpg,騎ジョーできるのは、自由のガンマンのみ。
新星姫 マルシアス,DM24RP3 30/76,061_013_01_新星姫 マルシアス.jpg,どれだけエナジーを集めたとしても、ゴルドラン・ゴルギーニ様がエルボロム・ハッピーに敗北することなどありえません！ — 新星姫 マルシアス
ゴールド・ウィリデ,DM24RP3 31/76,061_014_01_ゴールド・ウィリデ.jpg,我らの祈りが積み立てられ、祝福として配当されるだと……！ — ゴールド・ウィリデ
覚醒の使徒モージ,DM24RP3 32/76,061_015_01_覚醒の使徒モージ.jpg,アゲブロム・バイオレンスを退けたゴルドラン・ゴルギーニ。だが安心する間もなくエルボロム・ハッピーが襲来する！「喜ィーッ喜ッ喜ッ。暴竜爵が守ったモノに出会えるとは、実に喜ばしい！」
パシフィック・ヒーロー,DM24RP3 36/76,061_019_01_パシフィック・ヒーロー.jpg,どれだけ新しいハイクを生み出しても、フミビロム・パラダイスは満足できなかった。全ての真理にアクセスできる頭脳をもってしてもなお、ハイクの奥深さは底知れなかった。
ツイン・シックス,DM24RP3 37/76,061_020_01_ツイン・シックス.jpg,フミビロム・パラダイスはハイクの真理に到達するべく、現在・過去・未来に連なる四次元ハイクの制作に着手した。これから作るハイクが、水文明と月の軍勢との懸け橋になる……そんな予感がした。
♪楽楽楽 楽楽楽楽 楽楽楽,DM24RP3 38/76,061_021_01_♪楽楽楽 楽楽楽楽 楽楽楽.jpg,フミビロム・パラダイスはDrache der’ZenとEine k’Reineに、ハイク対決で詠んだ「楽」一文字だけのハイクを再び送った。この素晴らしい文化に出会い、一生の楽しみを得ることができたことに対する心からのお礼だった。
ホルン＝ストロン,DM24RP3 40/76,061_023_01_ホルン＝ストロン.jpg,ジャシンは月の軍勢の新たな技術を一目見ただけで、アビスにもその力を与えることに成功してしまった。
不吉秘宝コーデン,DM24RP3 41/76,061_024_01_不吉秘宝コーデン.jpg,「暗黒剣とやらよ、我こそ闇文明の代表なり！いざ戦わん!!」月に向かって堂々と吼えたゼナークだったが、既に暗黒剣は月におらず、気持ちよく寝ていたコーデンを起こすだけだった。
スコア＝ラギルップ,DM24RP3 42/76,061_025_01_スコア＝ラギルップ.jpg,アゲブロム・バイオレンスは怒りの感情を極限に高めると、自らの身体を膨らませ始めた。あまりにも強大なエネルギーの予感に、ジャシンは愉快そうに唇を歪ませた。
オンサ＝マンサー,DM24RP3 43/76,061_026_01_オンサ＝マンサー.jpg,エルボロムとアゲブロムが超獣世界のクリーチャーに対抗心を燃やしたのに対し、シンベロムとフミビロムは理解を深めるアプローチをとった結果、夜の四天王は今や真っ二つの陣営に分かれてしまった。
空奏力 ナイン,DM24RP3 46/76,061_029_01_空奏力 ナイン.jpg,ゴルドラン・ゴルギーニが呼び出した、縦横無尽に空を舞う天使たちによって深手を負わされたアゲブロム・バイオレンスは、命からがら火文明を脱出するのだった。
アニー・笛・ルピア,DM24RP3 47/76,061_030_01_アニー・笛・ルピア.jpg,仲間を思う暴竜爵様の灰とゴルギーニ家への祈りがドラン・ゴルギーニを原罪から解放されしイノセントなる超越者へとアセンドさせたッピ……まさかこんな奇跡を目の当たりにするとはッピ……！ — アニー・笛・ルピア
ヨビニオン・トーテム,DM24RP3 48/76,061_031_01_ヨビニオン・トーテム.jpg,穴の底でシンベロム・カタルシスはゴルファンタジスタを治療するべく、完全なる融合を申し出た。それこそが、進化を拒んでいた自分の進化の最終形なのだと。そして２人は、倒れたまま互いに手を伸ばした。
大玉の妖精,DM24RP3 50/76,061_033_01_大玉の妖精.jpg,エルボロム・ハッピーはボロボロになったゴルファンタジスタをボールのように転がして穴に落とすと、嬉々として去っていった。意識を取り戻したシンベロム・カタルシスはゴルファンタジスタの姿を見て、ただただ哀しむことしかできなかった。
万能バンノー,DM24RP3 ㊙23/㊙24,061_035_01_万能バンノー.jpg,ブーン…ブーン…ここから先は、バンバン通らセンノー。 — 万能バンノー
炎怒 コアゲ,DM24RP3 ㊙24/㊙24,061_036_01_炎怒 コアゲ.jpg,小さくても、その怒りは骨まで焼き尽くす。
チャラ・ルピア,DM24RP3 TD3/TD3,061_037_01_チャラ・ルピア.jpg,ウィン。今夜、私にデュエマ教えてよ。上手くなりたいんだ。 — ニイカ
ツタンカーネン,DM24RP3 T10/T12,061_038_01_ツタンカーネン.jpg,積み重ねた感ジョーはプライスレス！
花美師ハナコ,DM24RP3 T11/T12,061_039_01_花美師ハナコ.jpg,勝つためなら、リスクもジョー等！
メイプル超もみ人,DM24RP3 T12/T12,061_040_01_メイプル超もみ人.jpg,青春のジョー景は、今でも色あせない。
万能バンノー,DM24RP3 52/76,061_041_01_万能バンノー.jpg,洗脳電波の性能もますます向ジョー中だ。
福音の精霊ゴルドランコイン,DM24RP3 53/76,061_042_01_福音の精霊ゴルドランコイン.jpg,始祖ゴルギーニ・エン・ゲルスは、自身への祈りを積み立て、将来的にコインという形で祝福を子孫に還元する仕組みを作り上げていた。だが、そのコインが超天使を降臨させるために使われるとは、予想だにできなかった。
光喜 コエル,DM24RP3 54/76,061_043_01_光喜 コエル.jpg,エルボロムの身体は暗黒剣に切り刻まれ、禍々しい曙光を帯びた喜びの化身、エルボロム・ハッピーへと変貌する！そして目覚めた新たな力は、純粋な喜びによってできた小生物を生み出した。
星姫械 ウェビキオン,DM24RP3 55/76,061_044_01_星姫械 ウェビキオン.jpg,暴竜爵の灰と祝福のコイン……かつてジャシンを封印した2人の遺物が揃ってしまったことで、ドラン・ゴルギーニは光の柱に包まれた。そして、超天使が天上から降臨する。その名も、ゴルドラン・ゴルギーニ！
ゴルドラン・スパーク,DM24RP3 56/76,061_045_01_ゴルドラン・スパーク.jpg,噴火でできた煙が晴れると、そこには黄金色に輝く無数の天使が立ち並んでいた。そしてそれらはゴルドラン・ゴルギーニの合図とともに大空を駆け、アゲブロム・バイオレンスを一斉に攻撃する！
芸馬猫刄 スゴローニャ,DM24RP3 57/76,061_046_01_芸馬猫刄 スゴローニャ.jpg,水文明の住人たちの尊敬の眼差しに囲まれたフミビロムは、ついにハイクという文化を極めきったと思い、ようやく水文明を侵略できると楽しみにしていた……だが突然、フミビロムの身体が謎の剣閃によって切り刻まれた！
楽識 コフミ,DM24RP3 58/76,061_047_01_楽識 コフミ.jpg,フミビロムの身体は暗黒剣に切り刻まれ、全ての真理にアクセスできる才能の特異点、フミビロム・パラダイスへと変貌する！そして目覚めた新たな力は、純粋な楽しみによってできた小生物を生み出した。
キング・オルカディズ,DM24RP3 59/76,061_048_01_キング・オルカディズ.jpg,フミビロム・パラダイスの口から、これまで考えつかなかった斬新なハイクが次々と溢れ出した。暗黒剣に切られて頭脳がパワーアップしたと同時に、まだまだハイクを極めてなどいなかったことを知ってしまったのだった。
タイニー・クリル,DM24RP3 60/76,061_049_01_タイニー・クリル.jpg,数式ハイク、非言語ハイク、そして量子力学ハイク……フミビロム・パラダイスが生み出したハイクはこれまでの常識を覆すものばかりで、水文明の住人たちはただただ圧倒されるばかりだった。
♪2×2-4×5+17=1,DM24RP3 61/76,061_050_01_♪2×2-4×5+17=1.jpg,◆解説◆夜の四天王が２対２で対立している状況で、私の言葉も死語のように乾いていたけれど、17文字のハイクと出会い、再び言葉がプラスの意味を持てるようになりました。
黒神龍スカルシューム,DM24RP3 62/76,062_001_01_黒神龍スカルシューム.jpg,「なに、月だと？月の支配はオリジンどもに任せていたがなぜ……」暗黒剣が月から来た勢力だと知ったゼナークは、スカルシュームの背に乗って闇夜の空へと消えた。
倍掘人形ニモドース,DM24RP3 63/76,062_002_01_倍掘人形ニモドース.jpg,「暗黒剣とやらが暗躍していると？ふむ、それは闇文明の代表としては許せんな」配下であるニモドースの報告を聞いたゼナークは、暗黒剣について調査を命じた。
オペラグラス＝ドクラス,DM24RP3 64/76,062_003_01_オペラグラス＝ドクラス.jpg,暗黒剣は夜の四天王を切り裂いた際、ジャシンの身体の一部をそれぞれに埋め込んだ。
